Name, City, State, Zip, Address, Price, Date,
Zella, Seattle,WA,98119,429 2nd Ave W,$1303 - 3283,2020-05-10,
Campus View, Seattle,WA,98105,4322 7th Ave NE,$1535 - 2799,2020-05-10,
Dexter, Seattle,WA,98109,2465 Dexter Ave N,$2295 - 3795,2020-05-10,
Oxford Apartments, Seattle,WA,98101,1920 1st Ave,$1900 - 2400,2020-05-10,
Alloy, Seattle,WA,98109,802 5th Ave,$1320 - 1750,2020-05-10,
Modera South Lake Union, Seattle,WA,98109,435 Dexter Ave N,$1823 - 9675,2020-05-10,
Metropolitan Park, Seattle,WA,98104,601 S Washington St,$1550 - 2375,2020-05-10,
Addison on Fourth, Seattle,WA,98104,308 4th Ave S,$899 - 1245,2020-05-10,
Canvas, Seattle,WA,98119,600 Elliott Ave W,$1584 - 2648,2020-05-10,
Annaliese, Seattle,WA,98109,118 6th Ave N,$2134 - 2234,2020-05-10,
Linden Square, Seattle,WA,98133,13530 Linden Ave N,$1435 - 2450,2020-05-10,
Soren Apartments, Seattle,WA,98107,5711 24th Ave NW,$2020 - 4145,2020-05-10,
Ellis Court, Seattle,WA,98121,2510 Western Ave,$1350 - 1550,2020-05-10,
Mosaic on Greenwood, Seattle,WA,98133,13543 Greenwood Ave N,$1650 - 1899,2020-05-10,
Velo and Ray, Seattle,WA,98103,3636 Stone Way N,$1884 - 2202,2020-05-10,
Luxe at Meridian, Seattle,WA,98133,10306 Meridian Ave N,$1341 - 2145,2020-05-10,
Sundodger Apartments, Seattle,WA,98105,4218 Roosevelt Way NE,$1650 - 1870,2020-05-10,
Mysa Apartments, Seattle,WA,98125,3025 NE 130th St,$1525 - 2899,2020-05-10,
Sunset Park, Seattle,WA,98146,11202 2nd Ln SW,$1748,2020-05-10,
O2, Seattle,WA,98121,2401 3rd Ave,$1770 - 3745,2020-05-10,
Jack Apartments, Seattle,WA,98122,1427 11th Ave,$1202 - 4725,2020-05-10,
Viva, Seattle,WA,98122,1111 E Union St,$1815 - 3889,2020-05-10,
The Galleria, Seattle,WA,98133,10500 Meridian Ave N,$1357 - 4060,2020-05-10,
Pike Flats, Seattle,WA,98122,722 E Pike St,$1473 - 1609,2020-05-10,
Stratus, Seattle,WA,98121,820 Lenora St,$3100 - 5850,2020-05-10,
Oregon 42, Seattle,WA,98116,4502 42nd Ave SW,$1410 - 2345,2020-05-10,
Tower 801, Seattle,WA,98101,801 Pine St,$1849 - 7172,2020-05-10,
Aperture on Fifth, Seattle,WA,98109,206 5th Ave N,$1805 - 6295,2020-05-10,
Eastlake Flats, Seattle,WA,98102,2820 Eastlake Ave E,$865 - 1408,2020-05-10,
The Cornelius Apartments, Seattle,WA,98121,306 Blanchard St,$1295 - 3280,2020-05-10,
Cirrus, Seattle,WA,98121,2030 8th Ave,$2360 - 5250,2020-05-10,
Expo, Seattle,WA,98109,118 Republican St,$1668 - 3396,2020-05-10,
Array, Seattle,WA,98125,14027 Lake City Way NE,$1425 - 2380,2020-05-10,
AVA Ballard, Seattle,WA,98107,5555 14th Ave NW,$1555 - 2810,2020-05-10,
The Bernard, Seattle,WA,98109,115 Warren Ave N,$1832 - 2164,2020-05-10,
Noba Apartments, Seattle,WA,98117,8022 15th Ave NW,$1375 - 3655,2020-05-10,
Collage, Seattle,WA,98103,3606 Woodland Park Ave N,$1612 - 1789,2020-05-10,
Domaine, Seattle,WA,98109,2483 Birch Ave N,$1950 - 2048,2020-05-10,
Belay Apartments, Seattle,WA,98117,6559 15th Ave NW,$1455 - 2040,2020-05-10,
The Audrey at Belltown, Seattle,WA,98121,2922 Western Ave,$1827 - 2878,2020-05-10,
8th + Republican, Seattle,WA,98109,430 Eighth Ave N,$2110 - 3444,2020-05-10,
AVA Queen Anne, Seattle,WA,98119,330 3rd Ave,$2020 - 3980,2020-05-10,
Residences At 3295, Seattle,WA,98126,3295 SW Avalon Way,$1448 - 2249,2020-05-10,
Delridge Crossing, Seattle,WA,98106,2425 SW Webster St,$1665,2020-05-10,
Northgate Apartments, Seattle,WA,98125,11060 NE 2nd Ave,Call for Rent,2020-05-10,
Carolina Court, Seattle,WA,98109,527 Eastlake Ave,Call for Rent,2020-05-10,
Northline Apartments, Seattle,WA,98133,14359 Linden Ave N,$1434 - 1939,2020-05-10,
Beacon View, Seattle,WA,98144,1701 12th Ave S,$1631,2020-05-10,
Zindorf, Seattle,WA,98104,714 7th Ave,$1025 - 1286,2020-05-10,
Parla, Seattle,WA,98117,9176 Holman Rd NW,$1615 - 2655,2020-05-10,
The Noble Apartments, Seattle,WA,98103,4301 Stone Way N,$1738 - 3669,2020-05-10,
City Views, Seattle,WA,98126,3021 SW Bradford St,$1395 - 1795,2020-05-10,
700 Broadway Apartments, Seattle,WA,98102,700 Broadway Ave E,$2340,2020-05-10,
Modera Jackson, Seattle,WA,98144,1801 S Jackson St,$1581 - 3295,2020-05-10,
Wharfside Pointe, Seattle,WA,98119,3812-3827 14th Ave W,$1698 - 2401,2020-05-10,
Collins on Pine, Seattle,WA,98122,1601 13th Ave,$2123 - 3172,2020-05-10,
Fountain Court, Seattle,WA,98121,2400 4th Ave,$1701 - 3099,2020-05-10,
Avalon Belltown Towers, Seattle,WA,98121,210 Wall St,$1970 - 8500,2020-05-10,
AVA Belltown, Seattle,WA,98121,2800-2816 Western Ave,$1800 - 2390,2020-05-10,
AVA Capitol Hill, Seattle,WA,98122,1530 Belmont Ave,$1847 - 3695,2020-05-10,
Marketside Flats, Seattle,WA,98101,84 Union St,$1590 - 2890,2020-05-10,
Boxcar, Seattle,WA,98109,975 John St,$1732 - 1762,2020-05-10,
Monticello, Seattle,WA,98104,415 Boren Ave,$1316,2020-05-10,
Beryl Apt Homes, Seattle,WA,98122,1200 E Pike St,$1718 - 2600,2020-05-10,
The Park At Northgate, Seattle,WA,98125,10713 Roosevelt Way NE,$1697 - 1925,2020-05-10,
Citizen, Seattle,WA,98122,1222 E Madison St,$1508 - 2325,2020-05-10,
Joseph Arnold Lofts, Seattle,WA,98121,62 Cedar St,$1130 - 7406,2020-05-10,
REV Fremont, Seattle,WA,98107,317 NW 41st St,$1495 - 1875,2020-05-10,
The Flats at Interbay, Seattle,WA,98119,3036 16th Ave W,$1578 - 2074,2020-05-10,
Metroline Flats, Seattle,WA,98104,915 E Spruce St,$1735 - 2915,2020-05-10,
Icon Apartments, Seattle,WA,98104,400 S Jackson St,$1699 - 2499,2020-05-10,
Westside Flats, Seattle,WA,98126,3233 SW Avalon Way,$1950 - 2325,2020-05-10,
Greenlake Terrace Apartments, Seattle,WA,98115,7415 5th Ave NE,$1650 - 2350,2020-05-10,
Clarendon, Seattle,WA,98109,105 Warren Ave N,$1995 - 2270,2020-05-10,
1404 Boylston, Seattle,WA,98122,1404 Boylston Ave,$1222 - 2045,2020-05-10,
Rooster Apartments, Seattle,WA,98115,900 NE 65th St,$1843 - 3280,2020-05-10,
LaVie at Queen Anne, Seattle,WA,98109,229 Queen Anne Ave,$1699 - 2399,2020-05-10,
Manhattan, Seattle,WA,98148,18243 1st Ave S,Call for Rent,2020-05-10,
Walton Lofts, Seattle,WA,98121,75 Vine St,$2237 - 5296,2020-05-10,
Axis, Seattle,WA,98109,123 2nd Ave N,$1850 - 4410,2020-05-10,
TRESSA, Seattle,WA,98133,14200 Linden Ave N,$1099 - 1495,2020-05-10,
Park 3025, Seattle,WA,98125,3025 NE 137th St,$1790 - 1950,2020-05-10,
Avant Apartments, Seattle,WA,98122,2112 E Denny Way,$1275 - 2863,2020-05-10,
Charlesgate, Seattle,WA,98121,2230 4th Ave,$1250 - 1400,2020-05-10,
Janus Apartments, Seattle,WA,98117,121 NW 85th St,$1705 - 2405,2020-05-10,
AMLI 535, Seattle,WA,98109,535 Pontius Ave N,$1719 - 5323,2020-05-10,
U20 Apartments, Seattle,WA,98105,4536 20th Ave NE,$1195 - 1355,2020-05-10,
Affordable University District Studios!, Seattle,WA,98105,4730 20th Ave NE,$800 - 1200,2020-05-10,
The Stax, Seattle,WA,98105,5001 Brooklyn Ave NE,$760 - 1425,2020-05-10,
Montisi, Seattle,WA,98126,4122 36th Ave SW,$999 - 1275,2020-05-10,
North Court Apartments, Seattle,WA,98133,2237 N 106th St,$1335 - 1695,2020-05-10,
